id,county_id,calendar_year,base_estimate,population_estimate,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,residual,gq_base_estimate,gq_estimate
9878,10940,2020,161501,163573,2072,398,401,,2,2066,2068,7,941,941
9879,10941,2020,112483,112780,297,334,295,,0,254,254,4,1484,1484
9880,10942,2020,37719,37715,-4,104,136,,0,29,29,-1,1155,1155
9881,10943,2020,25319,25396,77,44,121,,0,159,159,-5,90,90
9882,10944,2020,69919,69847,-72,272,197,,1,-151,-150,3,3125,3125
9883,10945,2020,123498,123666,168,329,304,,1,137,138,5,3706,3706
9884,10946,2020,6192,6189,-3,21,31,,0,7,7,0,101,101
9885,10947,2020,329226,331275,2049,716,1013,,15,2354,2369,-23,2719,2719
9886,10948,2020,2269675,2272571,2896,5932,4062,,296,632,928,98,39336,39336
9887,10949,2020,7005,7007,2,20,31,,0,13,13,0,93,93
9888,10951,2020,6162,6115,-47,12,42,,0,-18,-18,1,101,101
9889,10952,2020,14552,14508,-44,31,58,,0,-17,-17,0,99,99
9890,10953,2020,17788,17818,30,28,38,,0,44,44,-4,126,126
9891,10954,2020,11578,11592,14,36,52,,0,32,32,-2,57,57
9892,10955,2020,136761,136732,-29,321,368,,0,23,23,-5,872,872
9893,10956,2020,107819,109090,1271,264,157,,-1,1156,1155,9,491,491
9894,10957,2020,7317,7328,11,23,16,,0,6,6,-2,95,95
9895,10958,2020,69698,69889,191,182,231,,0,241,241,-1,5046,5046
9896,10959,2020,25386,25369,-17,48,99,,0,37,37,-3,231,231
9897,10960,2020,42090,42088,-2,113,164,,0,51,51,-2,1026,1026
9898,10961,2020,10167,10158,-9,14,59,,0,37,37,-1,77,77
9899,10962,2020,48261,48175,-86,123,208,,0,2,2,-3,1898,1898
9900,10963,2020,338329,338121,-208,1374,700,,1,-894,-893,11,6443,6443
9901,10964,2020,24384,24336,-48,50,94,,0,-3,-3,-1,285,285
9902,10965,2020,36084,36002,-82,106,141,,0,-46,-46,-1,723,723
9903,10966,2020,46250,46384,134,130,157,,0,164,164,-3,420,420
